date,pred_time_index,country,model,actual,forecast,error,abs_error,sq_error
2021-04-25,69,China,hhh4_within,191,261.34611068319043,-70.34611068319043,70.34611068319043,4948.575288251679
2021-05-02,70,China,hhh4_within,185,260.9179948930725,-75.91799489307249,75.91799489307249,5763.5419485845805
2021-05-09,71,China,hhh4_within,146,249.07979887984686,-103.07979887984686,103.07979887984686,10625.444937109678
2021-05-16,72,China,hhh4_within,396,194.67588381624543,201.32411618375457,201.32411618375457,40531.39975716991
2021-05-23,73,China,hhh4_within,2522,524.5120587428003,1997.4879412571997,1997.4879412571997,3989958.0754679265
2021-05-30,74,China,hhh4_within,4051,3353.022180969435,697.9778190305651,697.9778190305651,487173.0358586643
2021-06-06,75,China,hhh4_within,3341,5378.446338384858,-2037.4463383848579,2037.4463383848579,4151187.5817978648
2021-06-13,76,China,hhh4_within,1998,4419.267161685246,-2421.267161685246,2421.267161685246,5862534.668255326
2021-06-20,77,China,hhh4_within,1318,2636.2866321055217,-1318.2866321055217,1318.2866321055217,1737879.644388119
2021-06-27,78,China,hhh4_within,820,1732.5974638385026,-912.5974638385026,912.5974638385026,832834.131004467
2021-07-04,79,China,hhh4_within,591,1074.8638696169462,-483.8638696169462,483.8638696169462,234124.2443206851
2021-07-11,80,China,hhh4_within,430,773.0562092855247,-343.0562092855247,343.0562092855247,117687.56272935371
2021-07-18,81,China,hhh4_within,385,562.3480201421986,-177.3480201421986,177.3480201421986,31452.320248357682
2021-07-25,82,China,hhh4_within,473,503.5036454043095,-30.50364540430951,30.50364540430951,930.4723829518526
2021-08-01,83,China,hhh4_within,515,619.0897755871742,-104.08977558717424,104.08977558717424,10834.681381788296
2021-01-24,56,South Africa,hhh4_within,79180,164745.66292148363,-85565.66292148363,85565.66292148363,7321482671.192958
2021-01-31,57,South Africa,hhh4_within,44397,115808.21383753371,-71411.21383753371,71411.21383753371,5099561461.749966
2021-02-07,58,South Africa,hhh4_within,24464,64204.50730002997,-39740.50730002997,39740.50730002997,1579307920.463735
2021-02-14,59,South Africa,hhh4_within,16363,34986.8661439113,-18623.8661439113,18623.8661439113,346848390.14632547
2021-02-21,60,South Africa,hhh4_within,12304,23172.696972711874,-10868.696972711874,10868.696972711874,118128573.88463625
2021-02-28,61,South Africa,hhh4_within,9858,17257.093372058487,-7399.093372058487,7399.093372058487,54746582.72843984
2021-03-07,62,South Africa,hhh4_within,7981,13756.069086420372,-5775.069086420372,5775.069086420372,33351422.952928226
2021-03-14,63,South Africa,hhh4_within,8208,11060.418447661767,-2852.4184476617665,2852.4184476617665,8136291.000561162
2021-03-21,64,South Africa,hhh4_within,8387,11324.375359874872,-2937.3753598748717,2937.3753598748717,8628174.004800033
2021-03-28,65,South Africa,hhh4_within,7665,11498.598087986094,-3833.5980879860945,3833.5980879860945,14696474.30021064
2021-04-04,66,South Africa,hhh4_within,7035,10447.664856170459,-3412.6648561704587,3412.6648561704587,11646281.420540938
2021-04-11,67,South Africa,hhh4_within,6026,9549.213024414354,-3523.2130244143536,3523.2130244143536,12413030.015402937
2021-04-18,68,South Africa,hhh4_within,8153,8133.117969978367,19.882030021633,19.882030021633,395.2951177811159
2021-04-25,69,South Africa,hhh4_within,8690,10973.782696568871,-2283.782696568871,2283.782696568871,5215663.405147384
2021-05-02,70,South Africa,hhh4_within,8472,11639.708431503195,-3167.7084315031952,3167.7084315031952,10034376.707016433
2021-05-09,71,South Africa,hhh4_within,11975,11283.635581727103,691.3644182728967,691.3644182728967,477984.7588538209
2021-05-16,72,South Africa,hhh4_within,16326,15862.625535711551,463.3744642884485,463.3744642884485,214715.89415460665
2021-05-23,73,South Africa,hhh4_within,21428,21587.78033797584,-159.78033797584067,159.78033797584067,25529.75640367387
2021-05-30,74,South Africa,hhh4_within,26499,28479.75211922957,-1980.7521192295717,1980.7521192295717,3923378.9578324393
2021-06-06,75,South Africa,hhh4_within,32421,35168.34046028258,-2747.340460282583,2747.340460282583,7547879.604705716
