ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-05-03,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-04,World Health Organization COVID-19 Dashboard,7,"1,426,106,093",0.0005
COVID-19,Unspecified,CHINA,2020-05-05,World Health Organization COVID-19 Dashboard,4,"1,426,106,093",0.0003
COVID-19,Unspecified,CHINA,2020-05-06,World Health Organization COVID-19 Dashboard,2,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-05-07,World Health Organization COVID-19 Dashboard,3,"1,426,106,093",0.0002
COVID-19,Unspecified,CHINA,2020-05-08,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-09,World Health Organization COVID-19 Dashboard,1,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-05-10,World Health Organization COVID-19 Dashboard,14,"1,426,106,093",0.0010
COVID-19,Unspecified,CHINA,2020-05-11,World Health Organization COVID-19 Dashboard,20,"1,426,106,093",0.0014
COVID-19,Unspecified,CHINA,2020-05-12,World Health Organization COVID-19 Dashboard,1,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-05-13,World Health Organization COVID-19 Dashboard,7,"1,426,106,093",0.0005
COVID-19,Unspecified,CHINA,2020-05-14,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-15,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-16,World Health Organization COVID-19 Dashboard,9,"1,426,106,093",0.0006
COVID-19,Unspecified,CHINA,2020-05-17,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-18,World Health Organization COVID-19 Dashboard,10,"1,426,106,093",0.0007
COVID-19,Unspecified,CHINA,2020-05-19,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-20,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-05-21,World Health Organization COVID-19 Dashboard,2,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-05-22,World Health Organization COVID-19 Dashboard,13,"1,426,106,093",0.0009
COVID-19,Unspecified,CHINA,2020-05-23,World Health Organization COVID-19 Dashboard,2,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-05-24,World Health Organization COVID-19 Dashboard,3,"1,426,106,093",0.0002
COVID-19,Unspecified,CHINA,2020-05-25,World Health Organization COVID-19 Dashboard,11,"1,426,106,093",0.0008
COVID-19,Unspecified,CHINA,2020-05-26,World Health Organization COVID-19 Dashboard,7,"1,426,106,093",0.0005
COVID-19,Unspecified,CHINA,2020-05-27,World Health Organization COVID-19 Dashboard,1,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-05-28,World Health Organization COVID-19 Dashboard,3,"1,426,106,093",0.0002
COVID-19,Unspecified,CHINA,2020-05-29,World Health Organization COVID-19 Dashboard,0,"1,426,106,093",0.0000
COVID-19,Unspecified,CHINA,2020-05-30,World Health Organization COVID-19 Dashboard,18,"1,426,106,093",0.0013
COVID-19,Unspecified,CHINA,2020-05-31,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-06-01,World Health Organization COVID-19 Dashboard,18,"1,426,106,093",0.0013
COVID-19,Unspecified,CHINA,2020-06-02,World Health Organization COVID-19 Dashboard,9,"1,426,106,093",0.0006
COVID-19,Unspecified,CHINA,2020-06-03,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-06-04,World Health Organization COVID-19 Dashboard,1,"1,426,106,093",0.0001
COVID-19,Unspecified,CHINA,2020-06-05,World Health Organization COVID-19 Dashboard,11,"1,426,106,093",0.0008
COVID-19,Unspecified,CHINA,2020-06-06,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-06-07,World Health Organization COVID-19 Dashboard,9,"1,426,106,093",0.0006
COVID-19,Unspecified,CHINA,2020-06-08,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-06-09,World Health Organization COVID-19 Dashboard,1,"1,426,106,093",0.0001
