ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CANADA,2020-06-21,World Health Organization COVID-19 Dashboard,409,"38,171,902",1.0715
COVID-19,Unspecified,CANADA,2020-06-22,World Health Organization COVID-19 Dashboard,390,"38,171,902",1.0217
COVID-19,Unspecified,CANADA,2020-06-23,World Health Organization COVID-19 Dashboard,318,"38,171,902",0.8331
COVID-19,Unspecified,CANADA,2020-06-24,World Health Organization COVID-19 Dashboard,300,"38,171,902",0.7859
COVID-19,Unspecified,CANADA,2020-06-25,World Health Organization COVID-19 Dashboard,326,"38,171,902",0.8540
COVID-19,Unspecified,CANADA,2020-06-26,World Health Organization COVID-19 Dashboard,279,"38,171,902",0.7309
COVID-19,Unspecified,CANADA,2020-06-27,World Health Organization COVID-19 Dashboard,380,"38,171,902",0.9955
COVID-19,Unspecified,CANADA,2020-06-28,World Health Organization COVID-19 Dashboard,172,"38,171,902",0.4506
COVID-19,Unspecified,CANADA,2020-06-29,World Health Organization COVID-19 Dashboard,238,"38,171,902",0.6235
COVID-19,Unspecified,CANADA,2020-06-30,World Health Organization COVID-19 Dashboard,218,"38,171,902",0.5711
COVID-19,Unspecified,CANADA,2020-07-01,World Health Organization COVID-19 Dashboard,668,"38,171,902",1.7500
COVID-19,Unspecified,CANADA,2020-07-02,World Health Organization COVID-19 Dashboard,286,"38,171,902",0.7492
COVID-19,Unspecified,CANADA,2020-07-03,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-07-04,World Health Organization COVID-19 Dashboard,567,"38,171,902",1.4854
COVID-19,Unspecified,CANADA,2020-07-05,World Health Organization COVID-19 Dashboard,319,"38,171,902",0.8357
COVID-19,Unspecified,CANADA,2020-07-06,World Health Organization COVID-19 Dashboard,226,"38,171,902",0.5921
COVID-19,Unspecified,CANADA,2020-07-07,World Health Organization COVID-19 Dashboard,219,"38,171,902",0.5737
COVID-19,Unspecified,CANADA,2020-07-08,World Health Organization COVID-19 Dashboard,399,"38,171,902",1.0453
COVID-19,Unspecified,CANADA,2020-07-09,World Health Organization COVID-19 Dashboard,232,"38,171,902",0.6078
COVID-19,Unspecified,CANADA,2020-07-10,World Health Organization COVID-19 Dashboard,267,"38,171,902",0.6995
COVID-19,Unspecified,CANADA,2020-07-11,World Health Organization COVID-19 Dashboard,371,"38,171,902",0.9719
COVID-19,Unspecified,CANADA,2020-07-12,World Health Organization COVID-19 Dashboard,321,"38,171,902",0.8409
COVID-19,Unspecified,CANADA,2020-07-13,World Health Organization COVID-19 Dashboard,221,"38,171,902",0.5790
COVID-19,Unspecified,CANADA,2020-07-14,World Health Organization COVID-19 Dashboard,244,"38,171,902",0.6392
COVID-19,Unspecified,CANADA,2020-07-15,World Health Organization COVID-19 Dashboard,565,"38,171,902",1.4801
COVID-19,Unspecified,CANADA,2020-07-16,World Health Organization COVID-19 Dashboard,331,"38,171,902",0.8671
COVID-19,Unspecified,CANADA,2020-07-17,World Health Organization COVID-19 Dashboard,341,"38,171,902",0.8933
COVID-19,Unspecified,CANADA,2020-07-18,World Health Organization COVID-19 Dashboard,437,"38,171,902",1.1448
COVID-19,Unspecified,CANADA,2020-07-19,World Health Organization COVID-19 Dashboard,405,"38,171,902",1.0610
COVID-19,Unspecified,CANADA,2020-07-20,World Health Organization COVID-19 Dashboard,330,"38,171,902",0.8645
COVID-19,Unspecified,CANADA,2020-07-21,World Health Organization COVID-19 Dashboard,339,"38,171,902",0.8881
COVID-19,Unspecified,CANADA,2020-07-22,World Health Organization COVID-19 Dashboard,786,"38,171,902",2.0591
COVID-19,Unspecified,CANADA,2020-07-23,World Health Organization COVID-19 Dashboard,571,"38,171,902",1.4959
COVID-19,Unspecified,CANADA,2020-07-24,World Health Organization COVID-19 Dashboard,543,"38,171,902",1.4225
COVID-19,Unspecified,CANADA,2020-07-25,World Health Organization COVID-19 Dashboard,432,"38,171,902",1.1317
COVID-19,Unspecified,CANADA,2020-07-26,World Health Organization COVID-19 Dashboard,534,"38,171,902",1.3989
COVID-19,Unspecified,CANADA,2020-07-27,World Health Organization COVID-19 Dashboard,350,"38,171,902",0.9169
COVID-19,Unspecified,CANADA,2020-07-28,World Health Organization COVID-19 Dashboard,355,"38,171,902",0.9300
COVID-19,Unspecified,CANADA,2020-07-29,World Health Organization COVID-19 Dashboard,686,"38,171,902",1.7971
COVID-19,Unspecified,CANADA,2020-07-30,World Health Organization COVID-19 Dashboard,396,"38,171,902",1.0374
COVID-19,Unspecified,CANADA,2020-07-31,World Health Organization COVID-19 Dashboard,412,"38,171,902",1.0793
COVID-19,Unspecified,CANADA,2020-08-01,World Health Organization COVID-19 Dashboard,393,"38,171,902",1.0296
COVID-19,Unspecified,CANADA,2020-08-02,World Health Organization COVID-19 Dashboard,513,"38,171,902",1.3439
COVID-19,Unspecified,CANADA,2020-08-03,World Health Organization COVID-19 Dashboard,287,"38,171,902",0.7519
COVID-19,Unspecified,CANADA,2020-08-04,World Health Organization COVID-19 Dashboard,285,"38,171,902",0.7466
COVID-19,Unspecified,CANADA,2020-08-05,World Health Organization COVID-19 Dashboard,147,"38,171,902",0.3851
COVID-19,Unspecified,CANADA,2020-08-06,World Health Organization COVID-19 Dashboard,760,"38,171,902",1.9910
COVID-19,Unspecified,CANADA,2020-08-07,World Health Organization COVID-19 Dashboard,395,"38,171,902",1.0348
COVID-19,Unspecified,CANADA,2020-08-08,World Health Organization COVID-19 Dashboard,374,"38,171,902",0.9798
COVID-19,Unspecified,CANADA,2020-08-09,World Health Organization COVID-19 Dashboard,424,"38,171,902",1.1108
COVID-19,Unspecified,CANADA,2020-08-10,World Health Organization COVID-19 Dashboard,236,"38,171,902",0.6183
COVID-19,Unspecified,CANADA,2020-08-11,World Health Organization COVID-19 Dashboard,230,"38,171,902",0.6025
COVID-19,Unspecified,CANADA,2020-08-12,World Health Organization COVID-19 Dashboard,681,"38,171,902",1.7840
COVID-19,Unspecified,CANADA,2020-08-13,World Health Organization COVID-19 Dashboard,289,"38,171,902",0.7571
COVID-19,Unspecified,CANADA,2020-08-14,World Health Organization COVID-19 Dashboard,423,"38,171,902",1.1081
COVID-19,Unspecified,CANADA,2020-08-15,World Health Organization COVID-19 Dashboard,405,"38,171,902",1.0610
COVID-19,Unspecified,CANADA,2020-08-16,World Health Organization COVID-19 Dashboard,418,"38,171,902",1.0950
COVID-19,Unspecified,CANADA,2020-08-17,World Health Organization COVID-19 Dashboard,237,"38,171,902",0.6209
COVID-19,Unspecified,CANADA,2020-08-18,World Health Organization COVID-19 Dashboard,198,"38,171,902",0.5187
COVID-19,Unspecified,CANADA,2020-08-19,World Health Organization COVID-19 Dashboard,785,"38,171,902",2.0565
COVID-19,Unspecified,CANADA,2020-08-20,World Health Organization COVID-19 Dashboard,282,"38,171,902",0.7388
COVID-19,Unspecified,CANADA,2020-08-21,World Health Organization COVID-19 Dashboard,336,"38,171,902",0.8802
COVID-19,Unspecified,CANADA,2020-08-22,World Health Organization COVID-19 Dashboard,383,"38,171,902",1.0034
COVID-19,Unspecified,CANADA,2020-08-23,World Health Organization COVID-19 Dashboard,499,"38,171,902",1.3072
COVID-19,Unspecified,CANADA,2020-08-24,World Health Organization COVID-19 Dashboard,257,"38,171,902",0.6733
COVID-19,Unspecified,CANADA,2020-08-25,World Health Organization COVID-19 Dashboard,267,"38,171,902",0.6995
